comentario,ciudad,id,nombre,edad,género,categoría_del_problema,nivel_de_urgencia,fecha_del_reporte,acceso_a_internet,atención_previa_del_gobierno,zona_rural
las calles están muy oscuras y peligrosas.,Manizales,1,Jorge,23.0,Otro,Salud,Urgente,2023-08-11,0,1,0
no tenemos centros culturales ni bibliotecas.,Santa Marta,2,Camilo,40.0,Otro,Medio Ambiente,No urgente,2023-04-12,1,1,1
las basuras no se recogen a tiempo.,Medellín,3,Pedro,35.0,Otro,Medio Ambiente,No urgente,2023-06-09,1,1,0
la contaminación del río está aumentando.,Bogotá,4,Ana,,F,Seguridad,No urgente,2023-06-04,0,1,1
no hay suficientes escuelas públicas.,Manizales,5,Jorge,62.0,M,Seguridad,Urgente,2024-07-10,1,0,1
hay problemas con la recolección de basura.,Cartagena,6,María,29.0,M,Seguridad,No urgente,2023-09-18,0,1,0
la contaminación del río está aumentando.,Medellín,7,Ana,,M,Salud,No urgente,2023-07-20,0,1,0
no hay suficientes escuelas públicas.,Bogotá,8,Jorge,38.0,F,Educación,Urgente,2023-04-23,0,1,0
necesitamos más acceso a internet en la zona.,Medellín,9,Carlos,57.0,M,Medio Ambiente,No urgente,2023-09-01,1,1,1
faltan médicos en el centro de salud.,Cali,10,María,76.0,F,Salud,No urgente,2024-09-21,0,1,1
falta agua potable en varias casas.,Bogotá,11,Pedro,46.0,Otro,Educación,Urgente,2024-04-02,0,1,0
la contaminación del río está aumentando.,Manizales,12,Ana,67.0,M,Seguridad,Urgente,2023-03-14,1,1,1
falta agua potable en varias casas.,Medellín,13,Laura,46.0,Otro,Salud,Urgente,2023-11-08,1,0,0
no hay suficientes escuelas públicas.,Bogotá,14,Sofía,72.0,F,Educación,No urgente,2023-08-19,1,0,0
falta agua potable en varias casas.,Manizales,15,Laura,67.0,F,Educación,Urgente,2024-08-16,1,1,1
faltan médicos en el centro de salud.,Manizales,16,Camilo,77.0,Otro,Salud,Urgente,2023-09-01,0,1,1
necesitamos más acceso a internet en la zona.,Santa Marta,17,Valentina,22.0,F,Salud,No urgente,2024-03-15,1,1,1
la contaminación del río está aumentando.,Barranquilla,18,Juan,71.0,Otro,Salud,No urgente,2023-12-21,0,1,0
,Manizales,19,Sofía,,F,Educación,Urgente,2023-11-02,1,0,1
queremos más presencia policial.,Medellín,20,Juan,52.0,M,Salud,Urgente,2024-06-18,0,0,1
faltan médicos en el centro de salud.,Cali,21,Jorge,59.0,M,Salud,Urgente,2024-07-21,0,0,1
queremos más presencia policial.,Barranquilla,22,Laura,65.0,M,Medio Ambiente,Urgente,2024-04-13,0,1,0
falta agua potable en varias casas.,Pereira,23,Jorge,51.0,Otro,Medio Ambiente,Urgente,2024-09-20,0,1,0
las basuras no se recogen a tiempo.,Barranquilla,24,Laura,64.0,F,Seguridad,No urgente,2024-05-20,0,1,0
no tenemos centros culturales ni bibliotecas.,Manizales,25,Carlos,28.0,F,Educación,No urgente,2023-04-22,1,1,1
necesitamos más acceso a internet en la zona.,Cúcuta,26,Sofía,69.0,F,Seguridad,Urgente,2024-01-11,0,1,1
las basuras no se recogen a tiempo.,Bucaramanga,27,Ana,24.0,F,Medio Ambiente,No urgente,2024-04-11,0,1,0
la contaminación del río está aumentando.,Pereira,28,Sofía,63.0,Otro,Medio Ambiente,No urgente,2024-08-03,0,1,1
hay problemas con la recolección de basura.,Cali,29,Carlos,46.0,F,Educación,Urgente,2024-06-29,1,1,1
falta agua potable en varias casas.,Cúcuta,30,Pedro,34.0,F,Seguridad,Urgente,2023-10-17,0,0,0
queremos más presencia policial.,Medellín,31,Ana,47.0,M,Salud,Urgente,2024-11-24,1,0,1
falta agua potable en varias casas.,Barranquilla,32,María,80.0,M,Medio Ambiente,Urgente,2023-02-06,0,1,1
no hay suficientes escuelas públicas.,Santa Marta,33,Pedro,77.0,Otro,Medio Ambiente,Urgente,2024-11-23,1,1,1
las basuras no se recogen a tiempo.,Barranquilla,34,María,78.0,M,Seguridad,Urgente,2024-09-06,1,0,1
necesitamos más acceso a internet en la zona.,Santa Marta,35,Pedro,54.0,F,Seguridad,Urgente,2023-03-04,1,0,1
las basuras no se recogen a tiempo.,Bogotá,36,Pedro,53.0,Otro,Educación,No urgente,2023-09-12,1,1,0
hay problemas con la recolección de basura.,Manizales,37,Carlos,18.0,M,Medio Ambiente,No urgente,2024-09-23,0,0,0
las calles están muy oscuras y peligrosas.,Barranquilla,38,Juan,61.0,Otro,Seguridad,Urgente,2024-05-04,0,0,1
hay problemas con la recolección de basura.,Santa Marta,39,Sofía,33.0,F,Medio Ambiente,No urgente,2024-10-20,0,1,0
falta agua potable en varias casas.,Manizales,40,Valentina,18.0,M,Educación,No urgente,2023-08-10,0,0,0
queremos más presencia policial.,Santa Marta,41,Valentina,,F,Medio Ambiente,Urgente,2024-06-16,0,1,1
las calles están muy oscuras y peligrosas.,Cúcuta,42,Ana,19.0,Otro,Salud,No urgente,2024-08-26,0,0,1
hay problemas con la recolección de basura.,Cali,43,María,50.0,Otro,Medio Ambiente,No urgente,2024-09-13,1,0,0
las basuras no se recogen a tiempo.,Medellín,44,Laura,60.0,,Educación,No urgente,2023-03-22,0,0,1
queremos más presencia policial.,Pereira,45,Carlos,29.0,F,Educación,No urgente,2023-10-31,0,0,0
